标志,ID,人物,内容,跳转,效果,目标
*,0,black,,,,
#,1,我,这段时间下来，巡护任务几乎成为了我日常中最重要的部分。,,,
#,2,我,当然，我也没有忘记自己的本质工作。,,,
#,3,我,每天回去之后，我都会在网络上发一些今天的经历，有时候则是一些摄影作品。,,,
#,4,我,不知不觉间，我积累下了一些粉丝。,,,
#,5,我,今天也是如此，我打开手机，惊讶地发现我的一条博客可能大概也许估计是走红了。,,,
#,6,我,我马上点进去，评论里大家在讨论各种各样的事情。,,,
#,7,我,有的人夸奖我的行为，有的人感叹利益虚心，有的人震惊于现在居然还有如此猖狂的盗猎行为，也有人一口咬定我就是骗流量的。,,,
#,8,我,更多的人在为无辜死去的动物而惋惜。,,,
#,9,我,是的，即使我们每天都在努力，还是无法面面俱到，总有几次，被盗猎者抓到可乘之机。,,,
#,10,我,看着这些回复让我有一种说不出来的酸胀感，好像我做的一切，大家所做的一切的意义都得到了肯定，又好像重温起那些特别的时刻。,,,
#,11,我,我告诉自己，一定要在这里奋斗到最后一刻。,,,
END,12,,,,,
