标志,ID,人物,内容,跳转,效果,目标
!,0,black,,,,
#,1,我,巡逻分成两人一组，今天我和扎西一起。,,,
!,2,black,,,,
#,3,我,早上吃饭的时候，家里的藏獒一直拿鼻头拱我。,,,
#,4,我,它是卓玛的好朋友，现在也是我的好朋友，不过他们并没有给它起名字。,,,
#,5,我,于是我只好叫它“汪汪”，或者“嘬嘬嘬”之类的。,,,
#,6,我,我以为它想要蹭一口吃的，但一直到餐具全都收起来了，它还在锲而不舍地拱我。,,,
#,7,我,唉。,,,
#,8,我,我无奈地叹了口气，蹲下来揉了揉它毛茸茸的大脑袋。,,,
#,9,我,你想做什么呢？,,,
#,10,？,让我来帮助你。,,,
#,11,我,我先是呆了几秒，然后反应过来那个晚上的事情可能还真的不是梦。,,,
#,12,我,我怀疑地盯了一会儿汪汪，但它只是端坐着，乖巧地回视我。,,,
#,13,汪汪,汪！,,,
#,14,我,我拍了拍自己的脑袋，站起身来。,,,
#,15,我,好吧，我们马上要出发了，如果你想要加入我们的话，就自己去说服扎西。,,,
#,16,汪汪,汪！,,,
!,17,black,,,,
*,18,Happy,,,,
#,19,我,等我来到车上的时候，汪汪已经赫然挤在了座位上，扎西正在努力把它赶下去。,,,
#,20,扎西,去去！,,,
#,21,我,汪汪倔强地昂着脑袋，没有动。,,,
#,22,我,看到我过来，它发出了撒娇的嘤嘤声。,,,
@,23,我,也许我们可以带上它......？,25,,
@,24,我,（装作无事发生）,26,,
#,25,我,我硬着头皮开口，好在经过一番交涉，终于是成功了。,30,,
#,26,我,我假装没有听见它的叫声，任由扎西把它赶了下来。,,,
#,27,汪汪,汪汪！,,,
#,28,我,虽然不怎么精通狗语，但我觉得它估计是在骂我。,,,
#,29,我,汪汪又跳回了车上，这下怎么都赶不下来了。扎西叹了一口气，决定也带上它。,,,
!,30,black,,,,
#,31,我,车子行驶起来，我们就这样一路深入。,,,
#,32,我,我望着窗外的景色。这片土地无论何时看起来都是一副寂寥、神圣，又美丽的模样，让我深深地为此着迷。,,,
#,33,我,到达目的地的时候，我仿佛如梦初醒，突然有些紧张，心跳在胸口咚咚作响。,,,
#,34,我,接下来，我要面对的就是穷凶极恶的违法分子。,,,
!,35,,,,,
*,36,Battle,,,,
#,37,扎西,我们要做的事情其实很简单。,,,
#,38,扎西,就是在一定范围内设置好装置，如果有敌人入侵，尽可能地抓到他们。,,,
#,39,扎西,有时候会有一些受伤的动物需要我们的庇护。,,,
#,40,扎西,扎西停好了车，开始和我说明。,,,
#,41,扎西,你知道怎样设置这些防御装置吗？,,,
@,42,我,我了解过。,44,,
@,43,我,你可以告诉我吗？,45,,
#,44,扎西,不错，那我们开始吧！,54,,
#,45,扎西,明白了。敌人的进攻会分为很多个回合，在他们进攻的回合间隙，我们有机会放置、强化一些装置。,,,
#,46,扎西,后勤处是必不可少的，每当敌人的进攻结束，它都会为我们提供装置所需要的材料。,,,
#,47,扎西,信号发射器可以为我们召集战友，当感觉寡不敌众的时候，试试看放几个信号发射器。,,,
#,48,扎西,治疗站可以回复一定范围内所有友方的血量，不过它有一个治疗上限。可以通过后续的强化来提高它。,,,
#,49,扎西,防护网可以阻拦敌人的路线，不同的防护网还有不同的效果。,,,
#,50,扎西,敌人会拆除装置。小心为上，保护好动物们，也注意自身的安全。,,,
#,51,扎西,你现在理解怎样作战了吗？需要我为你再解释一遍吗？,,,
@,52,我,是的，我还有不明白的地方。,45,,
@,53,我,不，我已经理解了。,44,,
END,54,,,,,
