标志,ID,人物,内容,跳转,效果,目标
#,0,我,回去的路上，我犹豫了很久，生怕是自己过于敏感。,1,,
#,1,我,最后还是假装不经意地提起了。,2,,
#,2,我,我今天看到一个人，长得简直和之前已经被送到警局的盗猎者一模一样。,3,,
#,3,我,不知道是不是有血缘关系。,4,,
#,4,扎西,哈哈，有可能呢。,5,,
#,5,我,扎西笑了笑，又继续和我说。,6,,
#,6,扎西,我最近也总是有这种错觉，有段时间还怀疑他们是不是跑出来了。,7,,
#,7,扎西,不过我已经去确认过了，没有任何异常。,8,,
#,8,我,他的话让我瞬间放心了许多，我们又聊了一些日常。,9,,
#,9,我,比如卓玛一直不死心，每天都早早起来锻炼身体；又比如我让汪汪表演才艺失败的糗事......,10,,
#,10,我,时间过得很快，我们互道了晚安，便各自休息了。,11,,
#,11,我,今天晚上我睡得不太好，做了一个很长的梦。,12,,
#,12,我,梦里的我和大家一起持之以恒的努力，但结果却总不尽人意。,13,,
#,13,我,仿佛一切都是徒劳。,14,,
#,14,我,早上醒来后，许多细节我都已经无法回忆起来，唯独记得梦里敌人似曾相识的脸。,15,,
#,15,我,我的思绪仿佛一团乱麻，扑腾一下坐了起来，却又无法排解内心的郁闷。,16,,
#,16,我,突然，我看见我放在桌上的相机。,17,,
#,17,我,有了，我只要记录下所有人的长相不就可以了？,18,,
#,18,我,我被自己的聪明才智所折服，简单收拾了一番便出门了。,19,,
END,19,,,,,
